title|time|content
Escaped Rome prisoners caught|18/02/2016|One prisoner gave himself up, the other arrested outside Rome.Two prisoners who escaped from Rome’s Rebibbia jail on 14 February are back in custody after one gave himself up on the afternoon of 17 February and the other was caught by police later that night.Both arrests were made in the Tivoli area north-east of Rome, ending a four-day manhunt that began after the prisoners sawed through window bars and scaled the prison walls using knotted sheets.One of the defendants, Catalin Ciobanu, handed himself in to Tivoli police station after realising he had “done something stupid”, according to his lawyer. Police discovered the other escapee, Mihai Florin Diaconescu, aboard a van in the Tivoli area. He was apprehended after a short chase by foot.Prosecutors in Rome have launched an investigation into the break-out from the city jail.
Rome manhunt for escaped prisoners|16/02/2016|Inmates remain at large after breaking out of Rome prison.A police manhunt is in operation in the greater Rome area for two prisoners who broke out of the city’s Rebibbia jail during the evening of 14 February.The inmates, who include a convicted murderer and are described as “very dangerous”, remain at large after evading capture for a second night.The pair escaped after sawing through window bars and scaling the prison wall using an improvised rope made from knotted sheets, before fleeing by foot on Via Tiburtina in the northeast Rebibbia suburb.They made their escape while attending a workshop at a new prison area, which was staffed by just two guards at the time and whose alarm system did not work, according to Italian news agency ANSA.Police are continuing with road blocks and bus checks around Rome in an attempt to catch the two who are named as Catalin Ciobanu and Mihai Florin Diaconescu, aged 33 and 28 respectively, from Romania.
Tortured body of Italian student found in Cairo|05/02/2016|Death of Italian student strains normally close Italo-Egyptian relations.Italian prime minister Matteo Renzi has called for the body of missing Italian student Giulio Regeni to be returned to Italy as soon as possible after the 28-year-old’s corpse was discovered with “signs of torture” outside Cairo on 3 February.A joint investigation has been launched by Italy and Egypt into the circumstances surrounding the death of Regeni whose semi-naked, partially-burned body was found with stab wounds and cigarette burns, indicating a “slow death”, according to Egyptian prosecutors investigating the case.Regeni had been in Egypt since September, carrying out research for his doctoral thesis on Egyptian trade unions and workers’ rights. The left-wing Italian newspaper II Manifesto said it had published his work under a pseudonym for his own security but on 5 February, after his body had been found, it ran an article on independent Egyptian trade unions, under Regeni’s real name.The normally close diplomatic ties between Italy and Egypt have been strained by Regeni’s death, causing Italy to cut short a high-level trade delegation to Cairo and the summoning of the Egyptian ambassador to Italy’s foreign affairs ministry at Palazzo della Farnesina in Rome.Regeni’s corpse was found on the roadside in a west Cairo suburb, nine days after he went missing on 25 January, the fifth anniversary of the popular revolution that toppled the nearly three-decade rule of former president Hosni Mubarak.Although his disappearance coincided with the detention of activists by Egyptian security forces, seeking to avoid anniversary protests, Regeni was not found in any of Cairo’s police stations or jails.Italy made the story public in an effort to pressurise Egypt into establishing the trutharound Regeni’s death, after a senior Egyptian investigator suggested that the University of Cambridge student had been involved in a road accident.See related news wantedinafrica.com
Rome opposes violence against women|25/11/2015|"A total of 152 women were murdered in Italy in 2014, with 94 per cent of the deaths attributed to men, according to a report into femicide released on 24 November. Of the 152 murdered women, 117 were killed within a family context.
However the findings by European research institute EURES reveal that the overall number of femicides in 2014 was down just over 15 per cent compared to 2013.Marking the UN-backed International Day for the Elimination of Violence against Women on 25 November, volunteers from the multi-lingual women’s helpline Telefona Rosa are organising an event at the Auditorium della Conciliazione from 09.30-13.00, featuring experts speaking on the theme “women uniting diverse worlds and cultures”.The Teatro Sistina stages X=Y, a play opposing violence against women, aimed at a young audience, on 25 and 26 November at 10.30 on both days.A “tango session with red shoes” takes place at Porta S. Paolo from 19.00-21.30 on 25 November. Organisers say the initiative, performed and overseen by Argentinian dancers, will use tango as a “beautiful metaphor for the harmony that is possible between men and women.” The Casa Internazionale delle Donne on Via della Lungara 19, in Trastevere, is holding a talk entitled Le donne di fronte al terrorismo on 25 November at 17.30. All events in Italian.Proceeds from the sale of prints at the Chiostro del Bramante between now and 29 November will go towards Donne in Rete contro la violenza (D.iRe), the national association of independent women’s centres and shelters against violence.Each pair of red shoes in the photo symbolises a murdered woman."
Mafia Capitale prosecutors indict ex-mayor Alemanno|07/11/2015|Rome’s ex right-wing mayor Gianni Alemanno accused of corruption.Prosecutors in Rome have sought an indictment for the city’s former mayor Gianni Alemanno on accusations of corruption, in connection with the so-called Mafia Capitale trial which opened on 5 November. The indictment does not contain charges of association with the mafia.The Mafia Capitale trial is the result of a major investigation into a mafia-style syndicate accused of infiltrating city hall, involving politicians, public officials and business people who allegedly helped mobsters to win lucrative city contracts in sectors such as immigrant housing, camps for Roma people, waste management, recycling and parks maintenance.Prosecutors suspect Alemanno, the capital’s right-wing mayor from 2008 to 2013, of receiving €125,000 in illicit funds between 2012 and 2014. They allege the money was funnelled to him in separate tranches by three of the highest-profile defendants in the Mafia Capitale trial.Prosecutors believe Alemanno received €75,000 in financing for electoral dinners, €40,000 for his foundation, and about €10,000 in cash, the last of which he allegedly received in October 2014, two months before the first wave of Mafia Capitale arrests.Prosecutors allege that Alemanno received the illicit funds via his Nuova Italia foundation in exchange for “acts running counter to his duties in office”. On 11 December the trial’s judge Nicola Di Grazia will rule whether or not Alemanno should stand trial. The ex-mayor maintains his “complete innocence.”The Mafia Capitale trial is currently based at the criminal courts in Prati’s Piazzale Clodio but on 10 November is scheduled to relocate to the high security court at the Rebibbia prison in the eastern outskirts of Rome, which is better equipped for handling large groups of defendants.
Mafia Capitale trial opens|05/11/2015|The first hearing in the so-called Mafia Capitale trial, the result of the biggest investigation into organised crime in Rome’s modern history, opened at the criminal courts in the Prati district on Thursday 5 November.The case involves 46 defendants, including the notorious Roman underworld figure Massimo Carminati – the alleged leader of a mafia-style syndicate accused of infiltrating city hall – who will follow proceedings via video link from a maximum security jail in Parma.A one-time member of a neofascist terrorist group as well as the former Banda della Magliana crime gang, Carminati lost an eye in a police shoot-out three decades ago.Also taking the stand is Carminati‘s sidekick Salvatore Buzzi who was caught on wire-tap in early 2013 boasting about how much money the mafia creamed off funds for emergency housing for immigrants and camps for Roma people.  The mobsters are believed to have corrupted dozens of politicians, public officials and business people in return for lucrative city contracts in sectors such as waste management, recycling and parks maintenance.Prosecutors allege these contracts were awarded during the administration of former right-wing mayor Gianni Alemanno, who is under investigation for corruption but does not face any mafia-related charges and is not involved in this trial.Local politicians from right and left parties Forza Italia (FI) and the Partito Democratico (PD) are also under trial. These include Luca Gramazio (Lazio branch of FI), the one-time city councillor Giordano Tredicine (FI), a member of the powerful Tredicine family which has a virtual monopoly of the mobile sandwich bars around Rome, and the former head of Rome city council Mirko Coratti (PD).The trial is currently based at the courthouse in Piazzale Clodio but on 10 November is scheduled to relocate to the high security court at the Rebibbia prison in the eastern outskirts of Rome, which is better equipped for handling large groups of defendants. Image: Secolo XIX
Car thieves like small models best|04/11/2015|Over half of stolen cars never recovered.Over 300 cars are stolen a day in Italy, according to a report from the ministry of the interior.But it is not the luxury cars that are disappearing. It is the smaller ones that are most popular. Favourites include the Panda, followed by the Punto, Lancia Ypsilon, Uno, Fiesta, Golf and Smart.Most thefts are in Rome and Naples, followed by Milan.However thefts are going down, from a total of 126,441 in 2013 to 120,495 in 2014 but police only manage to recover under half the cars stolen.In 2000 police found 54 per cent of stolen vehicles compared with 45 per cent in 2014. In the last 15 years over one million cars have simply disappeared.
Mafia Capitale trial opens in Rome|20/10/2015|Former chief of Rome’s AMA rubbish agency faces corruption charges.The first part of the Mafia Capitale trial into alleged criminal infiltration of Rome’s city hall opens on 20 October when the former chief of the city’s rubbish collection agency AMA Roma, Giovanni Fiscon, faces charges of corruption, along with four other defendants.The outgoing mayor Ignazio Marino decided not to attend the hearing, despite previously declaring his “firm intention” of being there wearing his mayoral sash. The city was represented by Alfonso Sabella, the Sicilian magistrate and former antimafia prosecutor, and Rome’s current councillor for legality.The Mafia Capitale case centres mainly on the embezzlement of funds destined for emergency housing for immigrants and camps for Roma people, but also includes other sectors such as waste management, recycling and parks maintenance.Photo. Giovanni Fiscon
Anti-mafia protest in Rome|03/09/2015|"Capital stands up to organised crime following lavish Mafia funeral. Politicians, trade unions and civil society associations are staging an anti-mafia protest at Piazza Don Bosco in Rome’s Cinecittà district at 18.00 on 3 September.The sit-in takes place outside the parish church of Don Bosco, off Via Tuscolana, two weeks after the ostenatious funeral of Vittorio Casamonica, the head of the notorious Casamonica clan which is accused of extortion and drug trafficking. The protest will be attended by the governor of Lazio, Nicola Zingaretti, while the mayor of Rome Ignazio Marino, who returns from his US holiday today, has also pledged his attendance along with the city council and numerous councillors. Speaking from the United States on 2 September, Marino described the rally as “slamming the door in the face of organised crime”, saying he hopes it can be a “new beginning” for the capital. Marino also repeated that he inherited the corruption in city hall when he succeeded his right-wing predecessor Gianni Alemanno more than two years ago.At a meeting with the New York mayor Bill de Blasio at the end of his vacation, Marino said: “If you don’t have lots of enemies, it means that you have not done the right thing.” De Blasio praised his counterpart for being “courageous”, adding that Marino “deserves much credit for what he is doing in the battle against mafia and corruption.”  Marino returns to a new command structure decided during his absence, which puts much of the control of Rome under the city’s prefect Franco Gabrielli, who describes himself as a “loyal collaborator” of the embattled mayor.The move comes in light of the so-called Mafia Capitale case which is investigating more than 100 public officials and business figures – including former mayor Alemanno – on suspicion of crimes including bid-rigging, racketeering, aggravated fraud, issuing false invoices, and tax evasion.It also follows the film-set funeral for the 65-year-old Casamonica boss, which took place on 20 August while Marino was on vacation and included a helicopter dropping rose petals on the large crowds. The “funeral show”, as it is referred to by local media, attracted widespread anger in Rome and led to today’s anti-mafia protest being organised by Matteo Orfini, the president of Marino’s Partito Democratico (PD)."
Mafia funeral in Rome draws protests|24/08/2015|Sit-in set for 3 September.A demonstration to protest the ostentatious funeral of the mafia boss, Vittorio Casamonica, is being called for 3 September. The heads of Rome’s 15 municipal districts have said that they will support the sit-in at the church of Don Bosco where the funeral of the head of the notorious Casamonica family was held in Piazza Don Bosco on 20 August, when most of the city was deserted for the Ferragosto holiday. The church of Don Bosco is off Via Tuscolana in the Cinecittà area of Rome.The lavish, film-set funeral, with black horse-drawn carriage, rose petals dropped from a helicopter and crowds of mourners, has further reinforced the image of Italy’s capital as a city without any proper leadership or control.Rome’s prefect, Franco Gabrielli, has called a meeting of the forces of law and order for Monday 24 August. He has already requested clarification from the police, the carabinieri and the city government about the event. The city’s mayor Ignazio Marino is still officially on holiday.   In a visit to Naples in the spring Pope Francis came out strongly against the mafia and official Church policy is against lavish funerals for mafia bosses. The priest at the church Don Bosco is reported as saying that he had no control of what happened outside his church. The bishop in charge of that part of the city has said that he knew nothing about the funeral, that he had not been warned by the police and that if he had known he would have stopped the show.In an article condemning the spectacular aspects of the funeral the Vatican newspaper Osservatore Romano has carried a comment from the archbishop of Catanzaro-Squillaci, Vincenzo Bertolone, that while the religious rites can not be denied mafia faithful, the funeral itself must be simple.Archbishop Bertolone is the postulant for the canonisation of Pino Puglisi, the priest who was murdered by the mafia in Palermo in 1993.
